filename,dose_ppm_h,risk_band,quality_status,L,a,b,darkness,rel_dark,patch_r,patch_g,patch_b
clean/clean_0000.jpg,15.7296,medium,pass,43.529,-10.0,33.0,0.6116,0.4958,104.49,106.48,46.49
clean/clean_0001.jpg,20.3315,high,pass,36.078,-13.0,28.0,0.6802,0.5821,79.47,90.69,39.93
clean/clean_0002.jpg,27.9992,high,pass,34.902,-26.0,32.0,0.7086,0.5957,55.57,92.65,28.96
clean/clean_0003.jpg,20.6476,high,pass,35.686,-10.0,23.0,0.6795,0.5867,81.3,88.83,46.38
clean/clean_0004.jpg,30.5441,high,pass,26.667,-20.0,25.0,0.7762,0.6911,44.31,70.31,22.31
clean/clean_0005.jpg,35.9494,high,pass,21.176,-4.0,18.0,0.8068,0.7547,53.62,51.91,24.24
clean/clean_0006.jpg,20.9665,high,pass,36.471,-21.0,32.0,0.6877,0.5775,68.57,94.57,31.8
clean/clean_0007.jpg,8.3726,medium,pass,52.941,-10.0,49.0,0.5262,0.3868,134.89,130.42,34.41
clean/clean_0008.jpg,26.5119,high,pass,35.686,-28.0,35.0,0.7112,0.5867,52.62,94.31,22.3
clean/clean_0009.jpg,39.7001,high,pass,18.039,-4.0,19.0,0.8344,0.7911,46.24,45.45,15.0
clean/clean_0010.jpg,9.5966,medium,pass,52.941,-2.0,46.0,0.5189,0.3868,146.95,125.85,42.78
clean/clean_0011.jpg,22.1952,high,pass,36.078,-9.0,24.0,0.6783,0.5821,84.19,88.02,45.58
clean/clean_0012.jpg,39.3526,high,pass,16.078,-14.0,6.0,0.8593,0.8138,18.56,45.5,31.67
clean/clean_0013.jpg,15.0439,medium,pass,44.314,-19.0,33.0,0.6125,0.4868,90.65,112.95,47.42
clean/clean_0014.jpg,27.8254,high,pass,30.196,-4.0,26.0,0.7273,0.6502,78.71,72.38,30.87
clean/clean_0015.jpg,14.5296,medium,pass,42.353,-6.0,35.0,0.6209,0.5094,108.16,101.83,39.99
clean/clean_0016.jpg,8.6664,medium,pass,52.157,-1.0,48.0,0.5287,0.3959,146.05,123.1,37.25
clean/clean_0017.jpg,9.2608,medium,pass,52.941,1.0,44.0,0.5159,0.3867,149.76,124.97,46.51
clean/clean_0018.jpg,24.9806,high,pass,32.549,-10.0,30.0,0.7133,0.623,75.76,80.52,27.91
clean/clean_0019.jpg,21.5839,high,pass,34.902,-20.0,26.0,0.7002,0.5958,62.82,90.67,38.99
clean/clean_0020.jpg,28.1549,high,pass,29.412,-12.0,22.0,0.7379,0.6593,62.85,75.0,35.32
